"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",3.87848636470388,2.4,3,3,2,3.4,3.8,2.21056860064961,3.50129142974874,5,3.7718727622552,3.20406113633943,3,3.43858197835212,1.8,5,3.41920449407504,5,4,4.6
"2",2,2.6624770158211,5,3,2,3.2,3.00673575710364,2.19044729145451,4.35884189555932,4,3.07731440312496,2.79890051936537,2.8,2.97588714097296,3.85407175580403,4.8,3.69057958478833,3.29299863970041,3.8,4.4
"3",1.92588546045295,3.23277910965611,3,3.16010928169654,3.24664437911785,2.41050845102615,1,4,5,2.71825047996094,2,3.45692670952771,3.2959972574679,3.17412807747092,4.46053270283624,1.93482834527149,3.05449832652388,1.36115578798749,2.46715493240055,2.83469505605164
"4",4,2.67223735779205,1,2.84548058937511,2.79949798936675,3.48110903257176,4.18143014981238,2.68393721023711,2.30171638657525,3.31964624593623,3.39492742452843,2,2.74215051355057,3,1.60996756026751,3.96100390631512,2.96361174001917,5,3.45815158974289,3.0893049557411
"5",2.84095132855942,3,5,3.16150226945271,3.05977266439452,3.8136699010507,3,2.51099049890004,4.24196711305007,4.05077119136449,3.60069856301467,1,3.01516009132614,3.02487233625705,3.44962694831236,4.92314412774526,3.76642925456343,5,3.98141137518676,4.41315951006786
"6",4,3.59940023540829,2.07146218382694,3.35481544342205,4,3.21266110033329,4.06111162574921,5,1,2.7629580286686,3.30372970771604,3.34080554536087,3.4574476412988,3.26247729491245,2.51762440115574,2.21925817077468,2.78776474701609,2.95959894535673,2.77410954733557,2
"7",2.91123076791193,3.28295273922658,3.32377445256429,3.15733289922673,3.46874834743681,2,1,3.66194710814211,3.46332687100299,3,2.59429286058022,5,3.32734497058878,4,3.74689464970788,1.7765300410925,2.8148252737157,1.40617307283419,2.44738715089441,2.40160246681288
"8",3.17861911437146,1,3.7517197899586,3.17618737872494,2.9875918915013,3.73172972493708,3.87536110079374,2.38373030632235,3.66850521703851,4.08752592395485,3.63782802011517,2.53111808081677,3,3.11623716329602,3.20459565301855,5,4,4.61112064667141,4,4.23514130726669
"9",2,4.69015546623146,4.45715849890542,4.20883119029049,5,3.58431284716147,2.90855122958681,5,4,3.46449730945459,4,4.52528818958718,4.3303707691335,4.1192017239519,5,2.80054865183209,3.98513315764273,2.43340355944302,3.45156378822649,3.35538014669373
"10",2,3.39815140140067,4.40035850025688,3.44094095700019,3.42668494700132,3.22168461499588,2.5116254306132,3.37448536643666,4.34737666168484,3.33818710370831,3.12341718693567,3,3.44649436421877,3,5,3.25135045117013,4,2.54784594096308,3.19841044238527,3.42200336402463
